Workout,Exercise,Sets ,Reps,RPE,Try Weight
E1,Pushups,3,10,7,20
E1,One Arm one leg dumbell row,3,10,7,20
E1,Split Squat Lunges (each side),2,10,7,40
E2,One Arm one leg planks,2,10,7,150
E2,Side Plank with Leg Lift,2,10,7,37
E2,Dumbell Squat to Press,4,6,7,40
E3,Weighted Step Ups (each side),4,10,7,40
E3,Skater Squats,4,6,7,0
E3,Assisted Pistols,4,6,7,0
E4,Kettleball Swing,4,20,7,15
E4,Standing dumbell overhead press,4,10,7,20
E4,Dumbell Curl to Press,4,8,7,20
E4,Bent over dumbbell raises,2,6,7,20
